annotation_id,annotator,created_at,id,lead_time,review,sentiment,updated_at
,,,,,,,
1,1,2026-02-14T13:15:38.884694Z,1,11.709,This movie is a triumph in every sense. Highly recommended for everyone.,Positive,2026-02-14T13:15:38.884720Z
,,,,,,,
2,1,2026-02-14T13:16:12.681555Z,2,25.356,I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.,Negative,2026-02-14T13:16:12.681579Z
,,,,,,,
3,1,2026-02-14T13:16:20.476052Z,3,6.413,I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.,Positive,2026-02-14T13:16:20.476078Z
,,,,,,,
4,1,2026-02-14T13:16:27.555020Z,4,5.424,The trailer was better than the movie. The acting was frankly tedious. A complete misfire.,Negative,2026-02-14T13:16:27.555044Z
,,,,,,,
5,1,2026-02-14T13:16:39.471506Z,5,10.314,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.",Negative,2026-02-14T13:16:39.471533Z
,,,,,,,
6,1,2026-02-14T13:18:17.930503Z,6,96.882,It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,2026-02-14T13:18:17.930524Z
,,,,,,,
7,1,2026-02-14T13:18:25.561295Z,7,4.845,I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.,Negative,2026-02-14T13:18:25.561316Z
,,,,,,,
8,1,2026-02-14T13:18:46.488273Z,8,15.147,Nothing about the acting worked. What a complete waste of potential.,Negative,2026-02-14T13:18:46.488313Z
,,,,,,,
9,1,2026-02-14T13:18:55.255758Z,9,6.374,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.",Neutral,2026-02-14T13:18:55.255782Z
,,,,,,,
10,1,2026-02-14T13:19:03.095385Z,10,5.24,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.",Positive,2026-02-14T13:19:03.095398Z
,,,,,,,
11,1,2026-02-14T13:19:13.456009Z,11,8.642,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.",Neutral,2026-02-14T13:19:13.456030Z
,,,,,,,
12,1,2026-02-14T13:19:21.706285Z,12,6.543,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.",Neutral,2026-02-14T13:19:21.706300Z
,,,,,,,
13,1,2026-02-14T13:19:30.189541Z,13,6.032,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.",Neutral,2026-02-14T13:19:30.189556Z
,,,,,,,
14,1,2026-02-14T13:19:35.256352Z,14,3.574,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,2026-02-14T13:19:35.256366Z
,,,,,,,
15,1,2026-02-14T13:19:41.928127Z,15,5.034,I am confused about how I feel. It left me puzzled.,Neutral,2026-02-14T13:19:41.928144Z
,,,,,,,
16,1,2026-02-14T13:19:53.755914Z,16,10.494,"The direction was typical, but nothing special. Middle of the road entertainment.",Negative,2026-02-14T13:19:53.755952Z
,,,,,,,
