review,label,length,hindi,back_translated,bleu_score,quality_flag
It doesn't leave a lasting impression. It was... fine.,Neutral,54,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह... ठीक था.,It does not leave any lasting effect. It was...okay.,0.2545093860020286,FAIL
I want my two hours back. Zero stars if I could give it.,Negative,56,मुझे अपने दो घंटे वापस चाहिए। यदि मैं इसे दे सकूं तो शून्य सितारे।,I want my two hours back. Zero stars if I could give it.,1.0,PASS
The screenplay was frankly pretentious. A frustrating experience.,Negative,65,पटकथा स्पष्ट रूप से दिखावटी थी। एक निराशाजनक अनुभव.,The script was clearly pretentious. A disappointing experience.,0.14287202148494,FAIL
I want my two hours back. It’s a hard pass from me.,Negative,51,मुझे अपने दो घंटे वापस चाहिए। यह मेरे लिए एक कठिन मार्ग है।,I want my two hours back. This is a difficult path for me.,0.42534670240297046,FAIL
A frustrating experience. Avoid this at all costs.,Negative,50,एक निराशाजनक अनुभव. इससे हर कीमत पर बचें.,A disappointing experience. Avoid this at all costs.,0.7825422900366437,PASS
The visual effects were delightful and added so much depth. I was hooked from the very first minute.,Positive,100,दृश्य प्रभाव आनंददायक थे और इसमें बहुत अधिक गहराई शामिल थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were enjoyable and added a lot of depth. I was hooked from the first minute.,0.5069487414732323,PASS
"Wow, just wow. The chemistry between the cast was refreshing. Two thumbs way up.",Positive,80,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। दो अंगूठे ऊपर की ओर.","Wow, just wow. The chemistry between the actors was refreshing. Two thumbs up.",0.6926989774939867,PASS
"It was... fine. If you're bored, give it a shot.",Neutral,48,"यह... ठीक था. यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It was...okay. If you are bored, give it a try.",0.41374412020518814,PASS
Standard fare for this type of movie. Good for a one-time watch.,Positive,64,इस प्रकार की फ़िल्म के लिए मानक किराया. एक बार देखने के लिए अच्छा है।,Standard fare for this type of movie. Nice to see once.,0.5334317510807476,PASS
"The pacing was absolutely touching. Wow, just wow.",Positive,50,"गति बिल्कुल मार्मिक थी। वाह, बस वाह.","The pace was absolutely poignant. Wow, just wow.",0.5348259312838877,PASS
It perfectly balances humor and drama. This movie is a triumph in every sense.,Positive,78,यह हास्य और नाटक को पूरी तरह संतुलित करता है। यह फिल्म हर दृष्टि से एक विजय है।,It balances comedy and drama perfectly. This film is a triumph in every sense.,0.4758733096412523,PASS
It managed to be phenomenal without trying too hard. I was completely blown away by this film.,Positive,94,बिना ज्यादा मेहनत किए यह अभूतपूर्व होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be phenomenal without trying too hard. I was completely enthralled by this film.,0.7940693189958064,PASS
Nothing about the acting worked. What a complete waste of potential.,Negative,68,अभिनय को लेकर कोई बात काम नहीं आई। क्षमता की कितनी पूर्ण बर्बादी है।,Nothing worked regarding acting. What a complete waste of potential.,0.6109528259777999,PASS
"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,96,"वाह, बस वाह. हर दृश्य में कमाई हुई महसूस हुई, और पोशाक डिजाइन उत्कृष्ट था। दो अंगूठे ऊपर की ओर.","Wow, just wow. Every scene felt earned, and the costume design was excellent. Two thumbs up.",0.7571771701555965,PASS
It follows the standard formula without taking risks. It was... fine.,Neutral,69,यह जोखिम उठाए बिना मानक फॉर्मूले का पालन करता है। यह... ठीक था.,It follows the standard formula without taking risks. It was...okay.,0.855526185871245,PASS
