"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
2,"1","2026-02-14T10:27:15.653769Z",1,5.106,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-14T10:27:15.653787Z"
3,"1","2026-02-14T10:40:21.838579Z",2,9.098,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-14T10:40:21.838598Z"
4,"1","2026-02-14T10:40:39.784879Z",3,11.186,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-14T10:40:39.784896Z"
5,"1","2026-02-14T10:40:48.083712Z",4,6.501,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-14T10:40:48.083731Z"
6,"1","2026-02-14T10:41:01.647385Z",5,10.547,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-14T10:41:01.647404Z"
7,"1","2026-02-14T10:41:09.332506Z",6,6.193,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-14T10:41:09.332524Z"
8,"1","2026-02-14T10:41:16.426334Z",7,5.537,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-14T10:41:16.426354Z"
9,"1","2026-02-14T10:41:22.954405Z",8,5.021,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-14T10:41:22.954426Z"
10,"1","2026-02-14T10:41:29.920881Z",9,4.971,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-14T10:41:29.920902Z"
11,"1","2026-02-14T10:41:37.591874Z",10,5.895,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-14T10:41:37.591894Z"
12,"1","2026-02-14T10:41:43.125324Z",11,4.232,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T10:41:43.125345Z"
13,"1","2026-02-14T10:41:57.690559Z",12,11.78,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-14T10:41:57.690578Z"
14,"1","2026-02-14T10:42:09.478841Z",13,10.052,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-14T10:42:09.478858Z"
15,"1","2026-02-14T10:42:18.416053Z",14,7.218,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-14T10:42:18.416082Z"
16,"1","2026-02-14T10:42:25.374608Z",15,5.281,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-14T10:42:25.374625Z"
17,"1","2026-02-14T10:42:32.074642Z",16,4.525,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-14T10:42:32.074664Z"
18,"1","2026-02-14T10:42:37.790787Z",17,4.127,"Total garbage. Zero stars if I could give it.","Negative","2026-02-14T10:42:37.790808Z"
19,"1","2026-02-14T10:42:44.690664Z",18,5.03,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-14T10:42:44.690685Z"
20,"1","2026-02-14T10:42:53.056126Z",19,5.605,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-14T10:42:53.056147Z"
21,"1","2026-02-14T10:43:00.432853Z",20,5.793,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-14T10:43:00.432871Z"
22,"1","2026-02-14T10:43:17.656320Z",21,15.328,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-14T10:43:17.656339Z"
23,"1","2026-02-14T10:43:25.363912Z",22,5.571,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-14T10:43:25.363932Z"
24,"1","2026-02-14T10:43:38.891696Z",23,11.627,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-14T10:43:38.891714Z"
25,"1","2026-02-14T10:43:46.779635Z",24,6.453,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-14T10:43:46.779654Z"
26,"1","2026-02-14T10:43:52.572767Z",25,4.461,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-14T10:43:52.572786Z"
27,"1","2026-02-14T10:43:58.228845Z",26,3.977,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-14T10:43:58.228865Z"
28,"1","2026-02-14T10:44:08.635561Z",27,5.191,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-14T10:44:08.635585Z"
29,"1","2026-02-14T10:44:17.446429Z",28,6.697,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-14T10:44:17.446451Z"
30,"1","2026-02-14T10:44:23.062637Z",29,3.895,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-14T10:44:23.062654Z"
31,"1","2026-02-14T10:44:29.931856Z",30,5.243,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-14T10:44:29.931882Z"
32,"1","2026-02-14T10:44:38.948550Z",31,7.346,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-14T10:44:38.948571Z"
33,"1","2026-02-14T10:44:44.687759Z",32,4.299,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-14T10:44:44.687778Z"
34,"1","2026-02-14T10:44:50.001245Z",33,3.772,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-14T10:44:50.001268Z"
35,"1","2026-02-14T10:44:55.571308Z",34,4.034,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-14T10:44:55.571326Z"
36,"1","2026-02-14T10:45:02.668547Z",35,4.671,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-14T10:45:02.668568Z"
37,"1","2026-02-14T10:45:12.104017Z",36,5.985,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-14T10:45:12.104035Z"
38,"1","2026-02-14T10:45:21.136963Z",37,6.78,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-14T10:45:21.136984Z"
39,"1","2026-02-14T10:45:57.616794Z",38,5.428,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-14T10:45:57.616817Z"
40,"1","2026-02-14T10:46:08.350437Z",39,7.189,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-14T10:46:08.350465Z"
41,"1","2026-02-14T10:46:58.570437Z",40,6.127,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-14T10:46:58.570455Z"
42,"1","2026-02-14T10:47:05.047549Z",41,4.324,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-14T10:47:05.047571Z"
43,"1","2026-02-14T10:47:11.260403Z",42,3.824,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-14T10:47:11.260426Z"
44,"1","2026-02-14T10:47:20.527570Z",43,7.633,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Negative","2026-02-14T10:47:20.527657Z"
45,"1","2026-02-14T10:47:26.332224Z",44,3.991,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-14T10:47:26.332245Z"
46,"1","2026-02-14T10:47:32.445468Z",45,4.288,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-14T10:47:32.445487Z"
47,"1","2026-02-14T10:47:41.118666Z",46,5.188,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-14T10:47:41.118683Z"
48,"1","2026-02-14T10:47:46.980463Z",47,4.477,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-14T10:47:46.980482Z"
49,"1","2026-02-14T10:47:51.272441Z",48,2.906,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-14T10:47:51.272463Z"
50,"1","2026-02-14T10:47:57.224467Z",49,4.666,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-14T10:47:57.224489Z"
51,"1","2026-02-14T10:48:03.593451Z",50,5.138,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-14T10:48:03.593471Z"
52,"1","2026-02-14T10:48:07.932726Z",51,2.745,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-14T10:48:07.932743Z"
53,"1","2026-02-14T10:48:16.244208Z",52,7.002,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-14T10:48:16.244228Z"
54,"1","2026-02-14T10:48:21.747733Z",53,4.084,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-14T10:48:21.747751Z"
55,"1","2026-02-14T10:48:29.575926Z",54,6.401,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-14T10:48:29.575946Z"
56,"1","2026-02-14T10:48:36.148699Z",55,3.709,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-14T10:48:36.148730Z"
57,"1","2026-02-14T10:48:41.821328Z",56,4.466,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-14T10:48:41.821347Z"
58,"1","2026-02-14T10:48:46.581361Z",57,3.403,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-14T10:48:46.581387Z"
59,"1","2026-02-14T10:48:51.402178Z",58,3.699,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-14T10:48:51.402197Z"
60,"1","2026-02-14T10:48:56.488395Z",59,3.685,"Total garbage. A complete misfire.","Negative","2026-02-14T10:48:56.488414Z"
61,"1","2026-02-14T10:49:01.660727Z",60,3.679,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-14T10:49:01.660749Z"
62,"1","2026-02-14T10:49:14.070518Z",61,11.008,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-14T10:49:14.070545Z"
63,"1","2026-02-14T10:49:19.131578Z",62,3.241,"I have never been so bored in my life. Do not bother.","Negative","2026-02-14T10:49:19.131606Z"
64,"1","2026-02-14T10:49:25.938525Z",63,4.192,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-14T10:49:25.938544Z"
65,"1","2026-02-14T10:49:31.192272Z",64,3.959,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-14T10:49:31.192309Z"
66,"1","2026-02-14T10:49:35.834046Z",65,3.359,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-14T10:49:35.834066Z"
67,"1","2026-02-14T10:49:41.812115Z",66,4.689,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-14T10:49:41.812137Z"
68,"1","2026-02-14T10:49:48.972809Z",67,5.823,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-14T10:49:48.972828Z"
69,"1","2026-02-14T10:49:54.616137Z",68,4.364,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-14T10:49:54.616155Z"
70,"1","2026-02-14T10:50:00.180015Z",69,4.243,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-14T10:50:00.180036Z"
71,"1","2026-02-14T10:50:06.446733Z",70,4.839,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-14T10:50:06.446752Z"
72,"1","2026-02-14T10:50:11.043963Z",71,3.345,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-14T10:50:11.043984Z"
73,"1","2026-02-14T10:50:34.379722Z",72,5.178,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-14T10:50:34.379739Z"
74,"1","2026-02-14T10:50:40.189231Z",73,3.341,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-14T10:50:40.189249Z"
75,"1","2026-02-14T10:50:44.489940Z",74,3.055,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-14T10:50:44.489959Z"
76,"1","2026-02-14T10:50:49.793514Z",75,4.015,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T10:50:49.793532Z"
77,"1","2026-02-14T10:50:54.890201Z",76,3.768,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-14T10:50:54.890221Z"
78,"1","2026-02-14T10:50:59.316578Z",77,3.155,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-14T10:50:59.316617Z"
79,"1","2026-02-14T10:51:03.928398Z",78,3.281,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-14T10:51:03.928422Z"
80,"1","2026-02-14T10:51:09.200127Z",79,3.924,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-14T10:51:09.200151Z"
81,"1","2026-02-14T10:51:16.268224Z",80,4.368,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T10:51:16.268242Z"
82,"1","2026-02-14T10:51:20.237136Z",81,2.848,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-14T10:51:20.237156Z"
