"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-14T13:11:47.340025Z",1,7.644,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-14T13:11:47.340025Z"
2,"1","2026-02-14T13:12:02.026627Z",2,8.524,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-14T13:12:02.026627Z"
3,"1","2026-02-14T13:12:45.227458Z",3,36.807,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-14T13:12:45.227458Z"
4,"1","2026-02-14T13:13:14.692838Z",4,15.382,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Neutral","2026-02-14T13:13:14.692838Z"
5,"1","2026-02-14T13:13:30.325215Z",5,12.425,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-14T13:13:30.325215Z"
6,"1","2026-02-14T13:14:16.508239Z",6,3.945,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-14T13:14:16.508239Z"
7,"1","2026-02-14T13:15:15.606079Z",7,51.839,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-14T13:15:15.606079Z"
8,"1","2026-02-14T13:15:51.199720Z",8,33.052,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-14T13:15:51.199720Z"
9,"1","2026-02-14T13:16:01.252603Z",9,5.495,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-14T13:16:01.252603Z"
10,"1","2026-02-14T13:16:08.545339Z",10,5.83,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-14T13:16:08.545339Z"
11,"1","2026-02-14T13:16:16.624914Z",11,5.609,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:16:16.624914Z"
12,"1","2026-02-14T13:16:28.187631Z",12,9.633,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-14T13:16:28.187631Z"
13,"1","2026-02-14T13:16:39.846748Z",13,8.215,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-14T13:16:39.846748Z"
14,"1","2026-02-14T13:16:46.685488Z",14,2.908,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-14T13:16:46.685488Z"
15,"1","2026-02-14T13:16:54.675267Z",15,4.257,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-14T13:16:54.675267Z"
16,"1","2026-02-14T13:17:01.856807Z",16,5.633,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-14T13:17:01.856807Z"
